Fecha,Producto,Categoria,Region,Monto,Stock,ID_Cliente
15/01/2024,Laptop HP,Tecnología,Norte,899.99,15.0,C001
15/01/2024,Laptop HP,Tecnología,Norte,899.99,15.0,C002
16/01/2024,Mouse Gaming,Tecnología,Sur,45.5,30.0,C003
16/01/2024,mouse gaming,Tecnología,Sur,45.5,30.0,C004
17/01/2024,Teclado Mecánico,Tecnología,Centro,120.0,,C005
18-01-2024,Audífonos Bluetooth,Tecnología,Norte,89.99,25.0,C006
19/01/2024,"Monitor 24""",Tecnología,Este,250.0,10.0,C007
01/19/2024,"Monitor 24""",Tecnología,Este,250.0,10.0,C008
20/01/2024,Impresora HP,Tecnología,,199.99,8.0,C009
21/01/2024,Tablet Samsung,Tecnología,Oeste,399.99,12.0,C010
22/01/2024,SmartWatch,tecnologia,Sur,159.99,20.0,C011
23/01/2024,Cable USB,Accesorios,Centro,12.99,100.0,C012
24/01/2024,Cargador Universal,Accesorios,Norte,25.99,50.0,C013
25/01/2024,,Accesorios,Este,18.5,45.0,C014
26/01/2024,PowerBank 20000mAh,Accesorios,Oeste,35.99,30.0,C015
01/03/2024,PowerBank 20000mAh,Accesorios,Centro,37.22,29.0,C016
21/08/2024,Webcam Full HD,tecnología,Centro,76.32,35.0,C017
10/05/2024,Pad Mouse XL,Accesorios,Sur,18.62,77.0,C018
27-08-2024,Hub USB-C 7 en 1,Accesorios,Sur,41.3,48.0,C019
23/06/2024,Mini PC Intel NUC,cómputo,Norte,504.98,13.0,C020
05-12-2024,PC Escritorio Gamer,Cómputo,Sur,1390.37,,C021
12/06/2024,Xiaomi Redmi 13,Telefonía,Este,291.25,25.0,C022
09/29/2024,Mini PC Intel NUC,Cómputo,,485.55,12.0,C023
24/11/2024,Pad Mouse XL,Accesorios,Norte,18.73,81.0,C024
01/03/2024,,Tecnología,Centro,81.93,37.0,C025
01/03/2024,WEBCAM FULL HD,Tecnología,Centro,81.93,37.0,C026
28/09/2024,Hub USB-C 7 en 1,Accesorios,Sur,38.53,46.0,C027
17/11/2024,Webcam Full HD,Tecnología,Oeste,76.31,36.0,C028
28/07/2024,Memoria RAM 16GB,Tecnología,Oeste,82.92,,C029
18-06-2024,Mini PC Intel NUC,Cómputo,Oeste,494.76,6.0,C030
03/07/2024,Webcam Full HD,Tecnología,Norte,80.52,37.0,C031
25/11/2024,Mouse Gaming,Tecnología,Centro,43.26,33.0,C032
06/10/2024,Cable USB,Accesorios,Norte,13.19,97.0,C033
18/02/2024,"Monitor 24""",Tecnología,Este,250.25,,C034
28/03/2024,Tarjeta Gráfica RTX,Cómputo,Centro,834.48,2.0,C035
30/07/2024,Tarjeta Gráfica RTX,Cómputo,Este,872.69,7.0,C036
12/07/2024,Hub USB-C 7 en 1,Accesorios,Centro,40.96,45.0,C037
20/09/2024,Tarjeta Gráfica RTX,Cómputo,Oeste,883.51,8.0,C038
26/08/2024,Impresora HP,tecnología,Centro,199.05,12.0,C039
05-05-2024,Gabinete ATX Corsair,Cómputo,Oeste,91.51,15.0,C040
25/06/2024,Soporte Monitor,Accesorios,Sur,53.61,23.0,C041
13/12/2024,xiaomi redmi 13,Telefonía,Sur,305.72,23.0,C042
25/04/2024,Tarjeta Gráfica RTX,Cómputo,Sur,829.39,1.0,C043
25/04/2024,Tarjeta Gráfica RTX,cómputo,Sur,829.39,1.0,C044
22/11/2024,Mouse Gaming,Tecnología,Centro,44.21,32.0,C045
26/02/2024,PowerBank 20000mAh,Accesorios,,36.61,27.0,C046
