timestamp,temperatura_celsius,humedad_relativa,presion_hpa,velocidad_viento_kmh,precipitacion_mm,indice_uv
2024-01-01 00:00:00,19.7,68.1,1016.8,11.1,0.0,0.0
2024-01-01 01:00:00,18.8,68.9,1016.2,28.0,0.0,0.0
2024-01-01 02:00:00,20.5,69.9,1017.7,13.3,0.0,0.0
2024-01-01 03:00:00,22.7,67.4,1017.1,6.7,0.0,0.0
2024-01-01 04:00:00,23.9,65.2,1018.8,10.2,0.0,0.0
2024-01-01 05:00:00,26.5,71.9,1021.0,10.2,0.0,0.0
2024-01-01 06:00:00,29.2,,1018.8,7.9,0.0,0.1
2024-01-01 07:00:00,30.9,69.0,1019.5,4.2,0.0,3.0
2024-01-01 08:00:00,34.0,64.7,1020.1,4.2,0.0,5.4
2024-01-01 09:00:00,35.7,62.8,1020.2,8.4,0.0,8.3
2024-01-01 10:00:00,36.6,59.3,1017.5,6.4,0.0,10.3
2024-01-01 11:00:00,37.0,58.3,1019.1,10.6,0.0,11.6
2024-01-01 12:00:00,36.1,56.7,1016.2,14.5,0.0,12.7
2024-01-01 13:00:00,37.2,55.6,1018.4,12.1,0.0,12.9
2024-01-01 14:00:00,18.1,56.6,1019.0,6.1,0.0,12.7
2024-01-01 15:00:00,34.7,53.7,1019.4,12.2,0.0,11.2
2024-01-01 16:00:00,32.3,53.3,1018.1,25.0,0.0,10.1
2024-01-01 17:00:00,30.7,51.8,1016.4,19.4,0.0,7.8
2024-01-01 18:00:00,29.5,52.0,1016.6,16.1,0.0,5.4
2024-01-01 19:00:00,27.3,56.4,1018.7,9.8,0.0,3.0
2024-01-01 20:00:00,24.0,57.1,1019.2,13.5,0.0,0
2024-01-01 21:00:00,23.5,59.0,1016.7,25.6,0.0,0.0
2024-01-01 22:00:00,21.5,58.6,1017.3,12.5,0.0,0.0
2024-01-01 23:00:00,19.7,63.5,1017.7,18.0,0.0,0.0
2024-01-02 00:00:00,20.0,65.2,1017.0,16.9,0.0,0.0
2024-01-02 01:00:00,20.6,68.3,1015.1,12.7,0.0,0.0
2024-01-02 02:00:00,21.2,67.0,1019.3,11.0,0.0,0.0
2024-01-02 03:00:00,23.1,68.1,1019.1,8.4,0.0,0.0
02/01/2024 04:00,24.8,71.1,1021.3,8.9,0.0,0.0
2024-01-02 05:00:00,26.6,68.6,1017.8,10.0,0.0,0.0
2024-01-02 06:00:00,29.5,67.9,1020.2,8.8,0.0,0
2024-01-02 07:00:00,31.0,69.3,1018.2,6.8,0.0,3.3
2024-01-02 08:00:00,33.4,63.6,1017.9,6.5,0.0,6.0
2024-01-02 09:00:00,35.1,65.1,1016.8,6.3,0.0,7.6
2024-01-02 10:00:00,36.9,62.9,1017.1,13.1,0.0,9.7
2024-01-02 11:00:00,37.9,55.3,1018.6,10.2,0.0,11.7
2024-01-02 12:00:00,35.9,58.4,1019.0,8.6,0.0,12.5
2024-01-02 13:00:00,37.5,54.6,1016.3,11.5,2.1,13.2
2024-01-02 14:00:00,36.6,53.8,1019.3,8.9,0.0,12.5
2024-01-02 15:00:00,35.8,54.1,1018.8,7.4,0.0,11.5
2024-01-02 16:00:00,34.1,53.6,1018.3,34.3,1.7,10.0
2024-01-02 17:00:00,30.4,52.9,1018.0,13.3,0.0,8.0
2024-01-02 18:00:00,29.9,53.0,1021.4,17.9,0.0,5.4
2024-01-02 19:00:00,26.8,53.7,1018.1,9.8,0.0,2.8
2024-01-02 20:00:00,24.7,58.9,1018.9,16.8,0.0,0
2024-01-02 21:00:00,23.0,55.5,1019.5,21.0,0.0,0.0
2024-01-02 22:00:00,21.3,,1017.0,34.8,0.0,0.0
2024-01-02 23:00:00,19.5,63.5,1018.9,22.5,0.0,0.0
2024-01-03 00:00:00,20.8,61.9,1020.5,12.1,0.0,0.0
2024-01-03 01:00:00,19.4,68.2,1015.2,11.6,0.0,0.0
2024-01-03 02:00:00,21.1,67.6,1018.5,13.0,0.0,0.0
03/01/2024 03:00,22.3,65.5,1018.0,8.1,0.0,0.0
03/01/2024 04:00,23.0,70.0,1018.8,7.2,0.0,0.0
2024-01-03 05:00:00,25.7,68.7,1016.8,11.7,0.0,0.0
2024-01-03 06:00:00,29.3,69.0,1018.1,13.1,0.0,0.0
2024-01-03 07:00:00,30.6,66.8,1018.1,12.0,0.0,2.9
2024-01-03 08:00:00,33.3,66.2,1015.8,4.1,0.0,5.9
2024-01-03 09:00:00,35.6,63.0,1016.3,12.7,0.0,8.1
2024-01-03 10:00:00,36.5,62.3,1017.1,5.3,0.0,10.1
2024-01-03 11:00:00,38.3,56.1,1016.7,7.5,0.0,11.7
2024-01-03 12:00:00,38.6,57.8,1017.1,5.6,0.0,12.6
2024-01-03 13:00:00,38.5,54.1,1018.0,10.5,0.0,12.7
2024-01-03 14:00:00,36.0,54.1,1018.7,13.5,0.0,12.4
2024-01-03 15:00:00,35.6,48.5,1018.9,20.7,0.0,11.4
2024-01-03 16:00:00,33.0,52.1,1019.9,22.2,0.0,10.1
2024-01-03 17:00:00,31.5,50.7,1018.6,10.6,0.0,7.8
2024-01-03 18:00:00,29.7,53.8,1017.4,17.6,0.0,5.7
2024-01-03 19:00:00,26.3,55.8,1017.4,32.4,0.0,2.9
2024-01-03 20:00:00,24.6,55.8,1018.1,17.6,0.0,0
2024-01-03 21:00:00,23.3,56.3,1018.2,19.7,0.0,0.0
2024-01-03 22:00:00,20.0,58.7,1018.2,18.1,0.0,0.0
2024-01-03 23:00:00,19.6,66.7,1021.3,8.6,0.0,0.0
2024-01-04 00:00:00,19.8,66.6,1016.3,11.5,0.0,0.0
2024-01-04 01:00:00,19.9,66.5,1018.5,11.6,0.0,0.0
2024-01-04 02:00:00,21.8,67.9,1019.1,8.8,0.0,0.0
2024-01-04 03:00:00,20.7,68.1,1019.7,13.6,0.0,0.0
2024-01-04 04:00:00,25.3,67.8,1019.7,12.1,0.0,0.0
2024-01-04 05:00:00,26.5,66.9,1016.5,4.5,0.0,0.0
2024-01-04 06:00:00,28.8,68.1,1018.5,5.6,0.0,0.1
2024-01-04 07:00:00,31.2,66.8,1017.2,9.7,0.0,3.1
2024-01-04 08:00:00,33.9,64.9,1017.4,8.9,0.0,5.3
2024-01-04 09:00:00,35.1,63.6,1016.8,6.6,0.0,8.4
2024-01-04 10:00:00,36.1,63.6,1017.8,6.2,0.0,10.3
2024-01-04 11:00:00,36.9,59.1,1016.8,8.1,0.0,11.4
2024-01-04 12:00:00,37.3,57.4,1017.6,9.8,0.0,13.1
2024-01-04 13:00:00,38.3,52.5,1017.0,11.2,0.0,13.0
2024-01-04 14:00:00,,54.5,1017.9,9.7,0.0,12.8
04/01/2024 15:00,35.0,51.1,1019.9,12.0,0.0,11.7
2024-01-04 16:00:00,33.7,53.7,1019.9,11.1,0.0,10.0
2024-01-04 17:00:00,30.8,53.9,1017.0,20.1,0.0,7.7
2024-01-04 18:00:00,29.8,53.0,1019.2,23.3,0.0,5.9
2024-01-04 19:00:00,26.5,54.9,1018.7,12.4,0.0,2.9
2024-01-04 20:00:00,23.8,57.9,1015.7,7.5,0.0,0.3
04/01/2024 21:00,22.8,54.9,1019.1,11.6,0.0,0.0
2024-01-04 22:00:00,22.0,60.2,1019.5,16.1,0.0,0.0
2024-01-04 23:00:00,20.2,63.8,1017.3,14.5,0.0,0.0
2024-01-05 00:00:00,20.1,63.0,1018.6,10.1,0.0,0.0
2024-01-05 01:00:00,19.6,66.4,1016.6,15.6,0.0,0.0
2024-01-05 02:00:00,21.5,71.7,1017.6,19.3,0.0,0.0
2024-01-05 03:00:00,44.3,68.9,1018.1,9.7,0.0,0.0
05/01/2024 04:00,24.6,68.8,1016.2,7.4,0.0,0.0
2024-01-05 05:00:00,25.2,69.2,1016.9,9.1,0.0,0.0
2024-01-05 06:00:00,28.0,68.8,1020.6,10.4,0.0,0
2024-01-05 07:00:00,32.1,66.9,1018.7,5.4,0.0,2.8
2024-01-05 08:00:00,33.8,64.8,1018.3,7.3,0.0,5.3
2024-01-05 09:00:00,34.5,65.0,1018.5,10.9,0.0,7.7
2024-01-05 10:00:00,36.6,57.1,1015.6,5.4,0.0,9.8
2024-01-05 11:00:00,35.8,58.6,1019.4,9.0,0.0,11.4
2024-01-05 12:00:00,38.7,56.8,1018.0,12.3,0.0,12.6
2024-01-05 13:00:00,38.0,55.2,1018.4,8.9,0.0,12.9
2024-01-05 14:00:00,36.2,56.1,1018.2,20.3,0.0,12.8
2024-01-05 15:00:00,35.6,51.9,1019.2,22.7,0.0,11.9
2024-01-05 16:00:00,32.4,52.2,1015.3,13.8,0.0,10.4
2024-01-05 17:00:00,32.7,52.3,1017.0,,0.0,8.1
2024-01-05 18:00:00,29.1,56.0,1015.3,8.9,0.0,5.9
2024-01-05 19:00:00,26.7,53.9,1020.4,16.8,0.0,2.9
2024-01-05 20:00:00,24.3,54.8,1015.6,17.4,0.0,0.0
2024-01-05 21:00:00,21.6,59.5,1017.6,22.5,0.0,0.0
2024-01-05 22:00:00,20.5,61.6,1014.8,11.0,0.0,0.0
2024-01-05 23:00:00,21.0,64.1,1019.5,25.5,0.0,0.0
2024-01-06 00:00:00,20.4,63.2,1018.0,8.3,0.0,0.0
2024-01-06 01:00:00,20.9,66.1,1017.8,14.1,0.0,0.0
2024-01-06 02:00:00,21.5,68.8,1018.1,17.0,0.0,0.0
2024-01-06 03:00:00,22.4,70.0,1019.0,8.4,0.0,0.0
06/01/2024 04:00,24.7,70.1,1017.6,12.0,0.0,0.0
2024-01-06 05:00:00,27.5,66.6,1020.5,9.2,0.0,0.0
2024-01-06 06:00:00,29.4,66.5,1015.8,7.3,0.0,0
2024-01-06 07:00:00,31.9,,1017.9,8.2,0.0,2.9
2024-01-06 08:00:00,34.1,62.8,1019.9,7.6,0.0,5.6
2024-01-06 09:00:00,36.8,63.4,1018.5,6.3,0.0,8.3
2024-01-06 10:00:00,36.5,59.3,1015.9,7.8,0.0,10.3
2024-01-06 11:00:00,39.3,56.1,1016.4,7.1,0.0,11.6
2024-01-06 12:00:00,38.7,53.3,1020.4,18.6,0.0,12.7
2024-01-06 13:00:00,37.5,55.7,1019.7,9.2,0.0,13.2
2024-01-06 14:00:00,37.3,49.0,1019.2,19.6,0.0,12.7
2024-01-06 15:00:00,34.3,54.3,1018.1,15.5,0.0,11.5
2024-01-06 16:00:00,34.1,50.3,1017.2,20.7,0.0,9.9
06/01/2024 17:00,30.6,51.0,1019.6,12.5,0.0,8.3
2024-01-06 18:00:00,29.1,52.9,1017.4,12.5,0.0,5.8
2024-01-06 19:00:00,26.3,53.4,1018.2,13.3,0.0,2.8
2024-01-06 20:00:00,25.3,56.9,1019.7,12.5,0.0,0
2024-01-06 21:00:00,22.6,58.5,1017.8,12.6,0.0,0.0
2024-01-06 22:00:00,20.2,62.4,1016.8,18.1,0.0,0.0
2024-01-06 23:00:00,20.2,61.8,1018.3,12.9,0.0,0.0
2024-01-07 00:00:00,19.7,67.8,1014.9,15.0,0.0,0.0
2024-01-07 01:00:00,19.7,68.1,1017.8,14.9,0.0,0.0
2024-01-07 02:00:00,21.2,68.4,1015.1,6.6,0.0,0.0
2024-01-07 03:00:00,22.3,71.5,1016.1,8.7,0.0,0.0
2024-01-07 04:00:00,24.2,68.5,1018.6,12.3,0.0,0.0
2024-01-07 05:00:00,,69.1,1019.0,6.1,0.0,0.0
2024-01-07 06:00:00,28.8,67.5,1017.1,6.9,0.0,0.2
2024-01-07 07:00:00,30.9,66.6,1016.6,5.0,0.0,3.0
2024-01-07 08:00:00,33.6,63.6,1016.6,6.5,0.0,5.9
2024-01-07 09:00:00,36.0,63.3,1019.0,10.4,0.0,7.7
2024-01-07 10:00:00,35.5,60.3,1017.3,6.5,0.0,10.0
2024-01-07 11:00:00,37.0,58.5,1018.0,11.8,0.0,11.8
2024-01-07 12:00:00,39.8,56.3,1018.1,8.4,0.0,12.6
2024-01-07 13:00:00,38.0,54.8,1015.4,7.0,0.0,12.6
2024-01-07 14:00:00,37.3,51.3,1017.7,15.1,0.0,12.6
2024-01-07 15:00:00,35.8,53.9,1019.3,12.9,0.0,11.6
2024-01-07 16:00:00,34.5,51.5,1019.1,21.4,0.0,9.9
2024-01-07 17:00:00,31.7,54.2,1016.7,17.9,0.0,8.3
2024-01-07 18:00:00,29.9,51.0,1016.4,18.0,0.0,5.8
07/01/2024 19:00,26.7,56.5,1017.3,8.6,0.0,2.7
2024-01-07 20:00:00,24.3,57.4,1020.6,7.8,0.0,0
07/01/2024 21:00,23.3,57.5,1018.2,9.7,0.0,0.0
2024-01-07 22:00:00,21.3,62.2,1016.6,30.1,0.0,0.0
2024-01-07 23:00:00,21.7,61.1,1018.4,14.3,0.0,0.0
2024-01-08 00:00:00,20.3,63.7,,11.1,0.0,0.0
08/01/2024 01:00,20.7,65.4,1016.7,11.3,0.0,0.0
2024-01-08 02:00:00,20.0,67.2,1018.8,7.4,0.0,0.0
2024-01-08 03:00:00,21.3,67.7,1018.1,8.1,0.0,0.0
2024-01-08 04:00:00,24.7,68.5,1018.0,17.7,0.0,0.0
2024-01-08 05:00:00,27.0,71.3,1016.2,8.2,0.0,0.0
2024-01-08 06:00:00,28.8,68.1,1019.4,5.0,0.0,0
