id_viaje,fecha,origen,destino,tipo_bus,pasajeros,precio_clp,duracion_horas
VJ-00001,2024-01-01,La Serena,Temuco,Económico,45,7400.0,10.2
VJ-00002,2024-01-01,Valparaíso,Puerto Montt,Cama,32,21400.0,4.1
VJ-00003,2024-01-01,Temuco,La Serena,Semi-cama,32,13400.0,5.0
VJ-00004,2024-01-01,Antofagasta,Valparaíso,Cama,33,20900.0,4.1
VJ-00005,2024-01-01,Temuco,La Serena,Semi-cama,30,14000.0,11.8
VJ-00006,2024-01-01,Concepción,Puerto Montt,Semi-cama,28,14400.0,4.0
VJ-00007,2024-01-01,Santiago,Concepción,Cama,35,23500.0,3.2
VJ-00008,2024-01-01,Valparaíso,La Serena,Cama Premium,29,23000.0,3.5
VJ-00009,2024-01-01,Valparaíso,Iquique,Semi-cama,35,14500.0,3.1
VJ-00010,2024-01-01,Temuco,Santiago,Cama,29,18900.0,5.5
VJ-00011,2024-01-01,Temuco,Antofagasta,Económico,22,9900.0,14.0
VJ-00012,2024-01-01,Santiago,Puerto Montt,Semi-cama,33,15700.0,5.3
VJ-00013,2024-01-01,Santiago,Valparaíso,Semi-cama,37,11400.0,4.0
VJ-00014,2024-01-01,Temuco,Valparaíso,Cama Premium,35,34100.0,4.2
VJ-00015,2024-01-01,Temuco,Puerto Montt,Cama,28,16400.0,4.1
VJ-00016,2024-01-01,Santiago,Temuco,Cama,34,20200.0,
VJ-00017,2024-01-01,Santiago,Valparaíso,Cama,31,19700.0,3.8
VJ-00018,2024-01-01,Santiago,Temuco,Cama,40,19500.0,7.9
VJ-00019,2024-01-01,La Serena,Valparaíso,Económico,28,9200.0,8.0
VJ-00020,2024-01-01,Concepción,Temuco,Semi-cama,27,15900.0,4.9
VJ-00021,2024-01-01,Santiago,Antofagasta,Económico,30,10800.0,8.6
VJ-00022,2024-01-01,La Serena,Temuco,Cama,25,15800.0,14.0
VJ-00023,2024-01-01,Santiago,Antofagasta,Semi-cama,39,12800.0,12.0
VJ-00024,2024-01-01,Concepción,Puerto Montt,Semi-cama,27,13100.0,6.6
VJ-00025,2024-01-02,Puerto Montt,Concepción,Económico,28,7000.0,9.0
VJ-00026,2024-01-02,Santiago,Puerto Montt,Cama,33,17800.0,14.0
VJ-00027,2024-01-02,Puerto Montt,Concepción,Semi-cama,31,,14.0
VJ-00028,2024-01-02,Santiago,Antofagasta,Cama Premium,36,33900.0,2.6
