Ciudad,Semana,Producto,Ventas
Concepción,2,Lácteos,81300
Santiago,2,Lácteos,48000
Temuco,3,Lácteos,41400
Santiago,4,Bebidas,42300
Valparaíso,1,Limpieza,14800
Concepción,3,Lácteos,27400
Santiago,2,Frutas y Verduras,61000
Santiago,1,Carnes,42100
Santiago,3,Bebidas,26500
Santiago,4,Abarrotes,48100
Temuco,3,Lácteos,51100
Concepción,1,Carnes,28800
Temuco,3,Abarrotes,42400
Santiago,3,Carnes,30100
Temuco,1,Lácteos,49300
Concepción,2,Limpieza,38800
Concepción,2,Limpieza,38500
La Serena,2,Abarrotes,39700
La Serena,1,Carnes,12400
Santiago,2,Abarrotes,41900
Santiago,1,Limpieza,21600
Concepción,4,Carnes,70500
Concepción,3,Limpieza,38200
Temuco,3,Bebidas,34900
La Serena,4,Bebidas,49200
La Serena,2,Abarrotes,45900
Valparaíso,3,Lácteos,48400
La Serena,4,Frutas y Verduras,40900
Santiago,4,Frutas y Verduras,96200
Temuco,2,Limpieza,45200
La Serena,4,Bebidas,16100
Temuco,2,Frutas y Verduras,28200
Santiago,3,Abarrotes,31400
La Serena,2,Lácteos,40500
La Serena,2,Bebidas,93200
La Serena,4,Frutas y Verduras,38800
Valparaíso,2,Carnes,14700
Santiago,1,Frutas y Verduras,32300
La Serena,4,Carnes,21700
Valparaíso,2,Carnes,28400
Concepción,3,Limpieza,53900
Valparaíso,2,Frutas y Verduras,49800
Valparaíso,1,Abarrotes,30700
Santiago,4,Bebidas,41200
Santiago,3,Frutas y Verduras,42200
Santiago,2,Abarrotes,40200
Santiago,1,Limpieza,22500
Temuco,4,Limpieza,26100
Temuco,4,Limpieza,42500
Temuco,1,Lácteos,17100
Santiago,2,Lácteos,76700
Santiago,4,Lácteos,34400
Concepción,2,Frutas y Verduras,19200
Valparaíso,2,Abarrotes,31000
Valparaíso,1,Limpieza,43500
Valparaíso,2,Frutas y Verduras,106800
La Serena,4,Bebidas,29800
Santiago,1,Limpieza,35200
La Serena,4,Abarrotes,25600
Temuco,4,Frutas y Verduras,52300
La Serena,1,Carnes,58800
Temuco,4,Limpieza,21400
La Serena,4,Frutas y Verduras,79100
Concepción,3,Limpieza,77000
Valparaíso,4,Lácteos,49900
Temuco,3,Bebidas,23400
Valparaíso,1,Carnes,68700
Concepción,4,Lácteos,45300
Santiago,4,Carnes,29300
Temuco,2,Lácteos,60700
Concepción,3,Bebidas,10100
La Serena,1,Frutas y Verduras,49700
Concepción,2,Abarrotes,64000
Valparaíso,2,Frutas y Verduras,32800
Temuco,1,Frutas y Verduras,38600
Concepción,2,Abarrotes,21200
Concepción,3,Bebidas,36200
La Serena,1,Carnes,53200
Santiago,3,Frutas y Verduras,20600
Valparaíso,2,Lácteos,44600
Santiago,1,Lácteos,36600
La Serena,4,Lácteos,41600
Santiago,2,Bebidas,28800
Santiago,2,Frutas y Verduras,17200
La Serena,1,Limpieza,89500
Santiago,3,Carnes,36900
La Serena,1,Lácteos,100800
Concepción,2,Lácteos,27900
Concepción,4,Abarrotes,44500
Temuco,4,Limpieza,17600
La Serena,1,Limpieza,51200
La Serena,4,Frutas y Verduras,34900
Temuco,1,Carnes,13400
Temuco,4,Abarrotes,16600
Valparaíso,1,Lácteos,26000
La Serena,1,Bebidas,31600
Santiago,3,Frutas y Verduras,40100
Valparaíso,3,Bebidas,46100
Santiago,1,Bebidas,28300
Temuco,4,Abarrotes,56900
La Serena,4,Carnes,52800
Santiago,1,Frutas y Verduras,27100
Temuco,2,Limpieza,59900
Valparaíso,1,Bebidas,22100
Santiago,4,Bebidas,15000
Concepción,3,Limpieza,76300
La Serena,4,Frutas y Verduras,20500
Santiago,4,Frutas y Verduras,21400
Valparaíso,1,Limpieza,56500
Santiago,1,Abarrotes,19700
Santiago,1,Lácteos,51200
Temuco,4,Lácteos,52500
Valparaíso,3,Lácteos,38700
Valparaíso,1,Abarrotes,23200
