id_cliente,tipo_contrato,tipo_cliente,region,plan,tiempo_contrato,uso_mensual_gb,satisfaccion,n_reclamos,abandono
CLI0001,semestral,Residencial,Biobío,Básico,13,18.6,6.2,1,no
CLI0002,mensual,Residencial,Valparaíso,Básico,17,10.5,4.3,3,no
CLI0003,anual,Empresarial,Valparaíso,Estándar,49,35.7,10,2,no
CLI0004,mensual,Residencial,Biobío,Básico,3,25.6,4.1,4,sí
CLI0005,mensual,Residencial,Antofagasta,Premium,4,91.5,5.0,4,no
CLI0006,anual,Pyme,Valparaíso,Premium,16,65.4,6.8,2,no
CLI0007,mensual,Residencial,Metropolitana,Estándar,9,18.2,6.3,2,no
CLI0008,anual,Pyme,Metropolitana,Premium,52,94.1,8.8,3,no
CLI0009,mensual,Pyme,Los Lagos,Básico,11,26.4,3.4,4,sí
CLI0010,mensual,Residencial,Los Lagos,Premium,11,82.1,6.0,4,no
CLI0011,semestral,Residencial,Biobío,Básico,13,14.5,3.8,2,no
CLI0012,mensual,Residencial,Los Lagos,Estándar,3,46.9,5.3,1,sí
CLI0013,mensual,Pyme,Antofagasta,Premium,3,67.9,6.5,2,no
CLI0014,anual,Pyme,Metropolitana,Premium,46,95.2,7.3,0,no
CLI0015,mensual,Residencial,Antofagasta,Básico,9,35.0,5.0,4,no
CLI0016,anual,Pyme,Los Lagos,Básico,21,25.4,5.4,3,no
CLI0017,anual,Residencial,Los Lagos,Estándar,43,67.4,,2,no
CLI0018,mensual,Pyme,Metropolitana,Básico,16,6.0,7.5,0,no
CLI0019,mensual,Pyme,Antofagasta,Premium,6,77.7,8.3,2,no
CLI0020,anual,Residencial,Biobío,Estándar,54,54.5,6.8,1,no
CLI0021,mensual,Residencial,Metropolitana,Estándar,1,32.6,4.5,4,sí
CLI0022,mensual,Residencial,Biobío,Básico,17,22.3,6.0,4,no
CLI0023,mensual,Pyme,Los Lagos,Estándar,8,44.7,2.7,5,sí
CLI0024,mensual,Empresarial,Metropolitana,Premium,4,87.3,7.4,3,no
CLI0025,mensual,Residencial,Valparaíso,Premium,15,84.9,6.5,3,no
CLI0026,anual,Pyme,Metropolitana,Básico,53,11.6,10,1,no
CLI0027,anual,Residencial,Valparaíso,Estándar,43,16.2,7.5,2,no
CLI0028,mensual,Empresarial,Biobío,Estándar,18,40.7,5.0,2,sí
CLI0029,mensual,Residencial,Los Lagos,Premium,18,89.7,6.4,0,sí
CLI0030,semestral,Residencial,Los Lagos,Básico,33,18.9,7.4,3,no
CLI0031,mensual,Residencial,Los Lagos,Básico,2,5.8,4.0,1,sí
CLI0032,mensual,Pyme,Biobío,Básico,9,11.0,3.7,4,sí
CLI0033,mensual,Residencial,Metropolitana,Estándar,4,47.4,5.7,5,sí
CLI0034,anual,Empresarial,Biobío,Básico,40,4.9,8.2,0,no
CLI0035,anual,Pyme,Los Lagos,Básico,54,19.1,6.5,3,no
CLI0036,mensual,Residencial,Los Lagos,Básico,9,12.6,5.2,4,sí
CLI0037,semestral,Empresarial,Los Lagos,Estándar,14,59.2,4.1,3,sí
CLI0038,mensual,Residencial,Biobío,Básico,15,19.5,4.2,3,sí
CLI0039,mensual,Pyme,Valparaíso,Premium,2,88.0,3.4,4,sí
CLI0040,anual,Residencial,Biobío,Básico,55,22.4,7.8,2,no
CLI0041,anual,Empresarial,Los Lagos,Premium,21,87.9,5.6,3,sí
CLI0042,mensual,Residencial,Biobío,Estándar,8,32.9,5.1,5,sí
CLI0043,anual,Empresarial,Valparaíso,Básico,41,2.0,9.3,2,no
CLI0044,mensual,Empresarial,Metropolitana,Estándar,12,57.4,4.6,2,no
CLI0045,semestral,Residencial,Metropolitana,Estándar,11,,3.5,3,sí
CLI0046,anual,Empresarial,Los Lagos,Premium,19,73.7,4.5,4,no
CLI0047,anual,Residencial,Los Lagos,Premium,55,76.2,5.3,3,no
CLI0048,semestral,Empresarial,Los Lagos,Estándar,27,43.4,7.7,1,no
