id_usuario,tiempo_navegacion,gasto,num_clicks,paginas_vistas,dispositivo
U001,4.1,3219,10,14,móvil
U002,26.4,9263,10,2,desktop
U003,32.1,12725,16,9,desktop
U004,14.2,4913,13,6,tablet
U005,33.4,13066,2,11,desktop
U006,2.4,2118,8,9,tablet
U007,1.5,1325,13,4,móvil
U008,18.1,7072,14,4,móvil
U009,27.0,8950,1,2,desktop
U010,11.6,5390,12,10,móvil
U011,9.2,4504,10,9,móvil
U012,16.0,6780,10,11,móvil
U013,29.1,9899,19,10,tablet
U014,4.6,1231,3,5,móvil
U015,28.7,9871,9,3,móvil
U016,21.4,7201,15,8,desktop
U017,3.3,2426,9,4,desktop
U018,20.0,8341,16,10,móvil
U019,22.6,8902,12,14,desktop
U020,12.0,5333,12,9,tablet
U021,1.1,1011,16,6,desktop
U022,19.0,8256,17,7,desktop
U023,23.0,8948,8,3,tablet
U024,8.1,5990,12,8,tablet
U025,23.0,11008,18,2,tablet
U026,18.2,7128,6,8,móvil
U027,22.8,7949,7,5,móvil
U028,28.0,10139,1,12,tablet
U029,8.5,4413,7,13,desktop
U030,1.9,1114,15,5,móvil
U031,15.5,5342,11,2,móvil
U032,29.5,10749,5,7,móvil
U033,1.9,2112,9,12,tablet
U034,13.4,4072,18,2,desktop
U035,19.4,7329,15,2,móvil
U036,13.1,5618,1,14,desktop
U037,18.1,7070,5,3,tablet
U038,26.5,8824,10,9,tablet
U039,23.9,7960,3,7,desktop
U040,19.7,7406,11,2,tablet
U041,34.6,12835,10,2,móvil
U042,32.1,11878,3,8,tablet
U043,27.5,9740,13,2,tablet
U044,5.9,3636,16,7,móvil
U045,12.3,4806,2,2,tablet
U046,21.6,8200,19,10,móvil
U047,17.1,8090,7,13,tablet
U048,14.4,5641,1,14,móvil
U049,5.8,2481,16,1,móvil
U050,34.1,12983,16,10,tablet
U051,25.6,9547,2,10,tablet
U052,30.0,10319,15,5,desktop
U053,21.0,7709,4,11,desktop
U054,30.1,11553,8,2,tablet
U055,21.9,8145,13,9,tablet
U056,34.8,12024,14,2,tablet
U057,28.1,10034,3,9,móvil
U058,23.6,6889,2,11,desktop
U059,1.1,969,11,4,móvil
U060,9.2,3717,7,6,desktop
U061,19.7,6344,18,1,desktop
U062,26.4,9331,13,9,tablet
U063,9.5,5118,10,15,móvil
U064,14.6,5751,3,13,tablet
U065,25.1,7966,10,14,desktop
U066,11.0,3696,5,2,desktop
U067,1.7,1553,10,14,tablet
U068,5.5,3302,12,8,desktop
U069,8.6,3462,9,5,desktop
U070,27.1,8993,14,1,desktop
U071,14.8,7202,10,5,móvil
U072,24.4,7191,11,9,móvil
U073,25.6,9543,10,5,tablet
U074,12.7,4906,7,13,desktop
U075,12.9,3535,3,13,móvil
U076,15.0,5728,9,8,tablet
U077,25.3,8554,14,13,desktop
U078,13.1,6509,14,7,tablet
U079,10.8,5228,11,2,tablet
U080,18.8,6012,14,8,móvil
U081,16.5,6113,19,10,móvil
U082,22.1,9415,4,6,móvil
U083,33.6,11309,9,12,móvil
U084,26.4,9180,11,9,tablet
U085,19.3,6209,17,14,desktop
U086,23.4,7943,7,13,desktop
U087,12.8,6310,8,6,desktop
U088,20.2,8258,11,13,móvil
U089,33.4,10264,8,11,desktop
U090,19.7,6693,7,13,tablet
U091,12.7,5844,14,5,desktop
U092,31.3,9722,9,4,tablet
U093,26.4,9232,17,2,desktop
U094,12.2,5654,12,8,móvil
U095,7.0,2755,18,4,móvil
U096,19.7,7704,7,12,desktop
U097,22.4,8057,1,3,tablet
U098,20.3,8045,5,4,desktop
U099,22.6,8955,7,2,tablet
U100,2.3,2785,20,15,móvil
