id_estudiante,horas_estudio,participaciones_chat,videos_vistos,nota_diagnostico,nota_final
EST001,12.2,6,25,3.3,7.0
EST002,6.8,8,26,6.7,7.0
EST003,8.1,3,2,4.7,7.0
EST004,9.0,4,27,4.5,7.0
EST005,6.0,5,20,6.3,7.0
EST006,8.0,5,10,5.9,7.0
EST007,8.0,6,15,3.2,7.0
EST008,3.6,7,1,5.0,7.0
EST009,10.5,8,18,4.5,7.0
EST010,9.5,8,19,5.6,7.0
EST011,6.4,7,4,4.3,7.0
EST012,7.6,7,1,5.5,7.0
EST013,9.3,8,25,1.6,7.0
EST014,7.3,5,22,5.1,7.0
EST015,7.4,7,4,7.0,7.0
EST016,4.4,8,18,6.0,7.0
EST017,9.4,6,1,7.0,7.0
EST018,8.3,4,26,5.6,7.0
EST019,8.7,5,25,4.8,7.0
EST020,4.2,2,16,4.0,7.0
EST021,12.1,3,25,4.5,7.0
EST022,8.4,5,3,6.9,7.0
EST023,7.0,7,11,5.0,7.0
EST024,13.1,9,24,5.6,7.0
EST025,7.9,5,3,5.8,7.0
EST026,4.4,5,21,4.6,7.0
EST027,7.0,3,24,6.6,7.0
EST028,2.3,7,21,2.3,7.0
EST029,10.6,6,4,6.2,7.0
EST030,7.0,8,13,5.5,7.0
EST031,6.1,7,14,5.4,7.0
EST032,10.7,4,27,4.7,7.0
EST033,3.9,7,1,2.7,5.3
EST034,9.3,11,16,9.5,7.0
EST035,2.8,8,12,5.1,7.0
EST036,6.3,6,2,5.8,7.0
EST037,5.0,9,1,5.1,6.9
EST038,11.7,9,2,5.0,7.0
EST039,12.4,8,23,7.0,7.0
EST040,7.2,7,2,4.5,7.0
EST041,10.1,5,22,4.8,7.0
EST042,7.6,8,10,4.6,7.0
EST043,9.4,6,5,4.8,7.0
EST044,6.1,6,15,4.8,7.0
EST045,3.7,2,9,4.6,7.0
EST046,3.5,6,29,3.9,7.0
EST047,9.0,7,20,5.4,7.0
EST048,13.6,8,4,4.4,7.0
EST049,8.7,3,10,3.9,7.0
EST050,6.7,4,27,4.7,7.0
EST051,12.8,9,24,6.4,7.0
EST052,8.6,5,24,5.7,7.0
EST053,8.3,6,12,6.5,7.0
EST054,8.6,3,2,5.9,7.0
EST055,7.7,8,16,5.4,7.0
EST056,7.2,2,24,5.7,7.0
EST057,4.4,5,24,3.0,7.0
EST058,9.3,1,28,6.3,7.0
EST059,7.8,3,15,5.3,7.0
EST060,11.0,4,14,6.5,7.0
EST061,7.1,5,25,4.2,7.0
EST062,3.2,8,11,4.5,6.7
EST063,7.8,9,28,6.2,7.0
EST064,12.2,4,19,4.0,7.0
EST065,7.0,5,28,3.2,7.0
EST066,5.8,2,11,3.7,7.0
EST067,5.0,5,25,5.6,7.0
EST068,5.4,3,21,7.0,7.0
EST069,7.2,6,4,5.5,7.0
EST070,5.1,4,21,5.0,7.0
EST071,11.7,7,9,4.4,7.0
EST072,7.3,4,8,3.2,7.0
EST073,8.3,6,27,4.1,7.0
EST074,11.6,3,23,6.2,7.0
EST075,11.8,6,1,5.1,7.0
EST076,7.5,5,22,6.1,7.0
EST077,8.8,6,8,5.7,7.0
EST078,9.8,6,23,3.4,7.0
EST079,7.5,7,14,6.4,7.0
EST080,3.6,4,8,6.1,7.0
EST081,9.6,7,27,3.2,7.0
EST082,10.2,6,28,2.7,7.0
EST083,9.0,4,15,4.9,7.0
EST084,5.7,7,25,4.6,7.0
EST085,7.5,5,28,4.9,7.0
EST086,6.5,7,17,4.9,7.0
EST087,7.3,11,18,5.4,7.0
EST088,11.2,5,22,4.0,7.0
EST089,11.8,4,12,2.8,7.0
EST090,9.7,10,3,7.0,7.0
EST091,9.4,7,24,4.3,7.0
EST092,9.7,10,16,5.8,7.0
EST093,8.0,5,7,5.1,7.0
EST094,7.8,8,6,3.3,7.0
EST095,6.3,2,10,5.4,7.0
EST096,7.9,5,25,4.2,7.0
EST097,13.6,5,11,6.1,7.0
EST098,10.2,9,14,4.8,7.0
EST099,7.1,4,23,5.4,7.0
EST100,6.8,10,2,6.4,7.0
EST101,5.8,4,4,3.5,7.0
EST102,8.9,5,6,6.0,7.0
EST103,9.0,7,5,4.7,7.0
EST104,4.4,7,12,4.9,7.0
EST105,9.2,8,19,4.7,7.0
EST106,6.6,7,17,5.7,7.0
EST107,11.6,4,19,5.1,7.0
EST108,8.4,8,10,6.7,7.0
EST109,12.3,9,5,5.1,7.0
EST110,6.9,8,28,4.6,7.0
EST111,7.3,7,17,6.3,7.0
EST112,8.7,6,26,6.3,7.0
EST113,10.6,7,3,6.3,7.0
EST114,9.4,6,8,6.4,7.0
EST115,4.9,8,10,4.3,7.0
EST116,8.5,7,17,6.6,7.0
EST117,8.1,7,28,5.0,7.0
EST118,6.9,5,2,5.7,7.0
EST119,6.4,5,13,4.4,7.0
EST120,12.4,5,3,2.9,7.0
