id_sucursal,visitas_semana,inversion_publicidad,n_vendedores,ventas_mensuales
S001,152,20045.0,6,9625
S002,485,14296.0,3,15506
S003,398,41608.0,7,7772
S004,320,18481.0,12,15068
S005,156,14766.0,17,13305
S006,121,27592.0,17,5000
S007,238,7905.0,2,9879
S008,70,40308.0,10,14671
S009,152,4653.0,7,16123
S010,171,49357.0,17,24307
S011,264,38840.0,4,5000
S012,380,10737.0,5,5000
S013,137,1271.0,4,9688
S014,422,40958.0,8,19783
S015,149,35636.0,0,15353
S016,409,36721.0,2,43222
S017,201,38792.0,9,16539
S018,180,4628.0,8,17495
S019,199,18565.0,19,22449
S020,358,6678.0,9,17439
S021,307,43292.0,2,8567
S022,393,31542.0,12,22269
S023,463,17214.0,19,13279
S024,343,4114.0,11,10759
S025,435,16238.0,4,8246
S026,241,16934.0,8,11148
S027,493,36751.0,17,39181
S028,326,32240.0,17,5000
S029,210,44473.0,18,22128
S030,363,24139.0,3,5000
S031,71,6860.0,2,5000
S032,302,35949.0,17,25874
S033,285,38278.0,13,15757
S034,394,28503.0,6,5000
S035,98,38777.0,6,5000
S036,108,25196.0,10,15096
S037,219,26614.0,10,5928
S038,237,21950.0,4,10754
S039,320,2246.0,17,15154
S040,239,6287.0,17,8442
S041,495,2540.0,4,29265
S042,224,32184.0,2,13778
S043,495,16403.0,12,5000
S044,100,25920.0,18,14665
S045,413,45471.0,9,11027
S046,104,13215.0,5,13199
S047,293,21109.0,7,5000
S048,369,38022.0,9,14016
S049,180,12211.0,4,11257
S050,356,4772.0,17,22566
S051,184,15198.0,4,5000
S052,70,8900.0,19,9046
S053,378,46555.0,15,14679
S054,216,40598.0,19,11659
S055,323,32037.0,3,25051
S056,437,43702.0,4,17602
S057,138,40380.0,17,5000
S058,365,10142.0,10,20424
S059,63,44735.0,5,25140
S060,291,27428.0,2,17792
S061,314,40565.0,5,5000
S062,395,44908.0,2,8929
S063,102,16582.0,15,21248
S064,435,6393.0,17,11530
S065,389,12169.0,9,16776
S066,141,21928.0,8,15289
S067,416,41083.0,4,6359
S068,493,43176.0,18,21152
S069,477,1341.0,2,5000
S070,313,26027.0,17,8371
S071,480,21453.0,13,15386
S072,84,11883.0,15,5000
S073,255,6873.0,7,22549
S074,130,17543.0,7,5000
S075,469,47203.0,14,16198
S076,99,16837.0,9,9425
S077,409,26421.0,3,23556
S078,437,35448.0,2,5000
S079,51,18818.0,16,20129
S080,439,48617.0,2,13973
S081,103,48160.0,6,5000
S082,155,13337.0,17,16404
S083,309,25365.0,5,12634
S084,359,15743.0,4,5920
S085,240,14957.0,18,15375
S086,451,2807.0,18,14560
S087,267,30869.0,13,15234
S088,93,25631.0,15,16972
S089,211,3522.0,7,21118
S090,251,14654.0,4,5000
S091,495,45505.0,10,35315
S092,319,12739.0,6,5000
S093,400,8100.0,18,15934
S094,353,24983.0,15,21009
S095,320,49297.0,4,14952
S096,264,12861.0,2,5000
S097,301,33935.0,2,8568
S098,239,38319.0,4,6424
S099,345,12644.0,19,12257
S100,262,36683.0,11,20597
