id_cliente,edad,genero,categoria_producto,canal_compra,monto_compra,compra_recurrente,n_compras_anio
C0001,43,No binario,Ropa,App móvil,40487,No,7
C0002,67,No binario,Libros,App móvil,19492,Sí,14
C0003,63,Femenino,Alimentos,Tienda física,9256,No,9
C0004,42,Femenino,Alimentos,Online,20228,Sí,24
C0005,36,Masculino,Hogar,App móvil,83650,Sí,2
C0006,32,Femenino,Electrónica,Online,89694,Sí,21
C0007,66,Masculino,Deportes,Online,52610,Sí,10
C0008,26,Masculino,Alimentos,Tienda física,12244,Sí,7
C0009,19,Masculino,Libros,Online,6429,No,18
C0010,44,Masculino,Electrónica,Tienda física,90899,Sí,20
C0011,69,Femenino,Deportes,Tienda física,46590,Sí,1
C0012,72,Masculino,Electrónica,Online,112392,No,7
C0013,57,No binario,Electrónica,App móvil,148613,Sí,18
C0014,64,Masculino,Belleza,Tienda física,34723,No,11
C0015,29,Masculino,Alimentos,Tienda física,21420,Sí,16
C0016,61,No binario,Belleza,Online,1083,Sí,20
C0017,49,Masculino,Alimentos,Tienda física,16318,Sí,16
C0018,29,Masculino,Belleza,App móvil,31903,Sí,11
C0019,59,Femenino,Hogar,App móvil,51076,Sí,18
C0020,50,Masculino,Electrónica,App móvil,132813,Sí,2
C0021,39,Masculino,Deportes,Online,46741,Sí,13
C0022,54,Masculino,Alimentos,Tienda física,6843,Sí,5
C0023,69,No binario,Hogar,Tienda física,66095,No,23
C0024,40,No binario,Electrónica,App móvil,87468,Sí,17
C0025,35,No binario,Deportes,Tienda física,58082,No,20
C0026,58,Femenino,Electrónica,Tienda física,111185,No,13
C0027,42,Femenino,Electrónica,Tienda física,178855,Sí,7
C0028,71,Masculino,Alimentos,Tienda física,19519,No,2
C0029,35,No binario,Alimentos,App móvil,12938,Sí,18
C0030,70,No binario,Alimentos,Tienda física,22301,No,3
C0031,24,Femenino,Hogar,Tienda física,86748,No,9
C0032,38,No binario,Libros,Online,18048,Sí,9
C0033,56,No binario,Deportes,Online,72315,No,7
C0034,63,No binario,Belleza,App móvil,20150,Sí,13
C0035,44,Femenino,Belleza,Online,39273,Sí,4
C0036,32,Femenino,Ropa,Tienda física,45575,Sí,19
C0037,64,No binario,Belleza,App móvil,35783,No,12
C0038,56,No binario,Alimentos,Tienda física,13129,Sí,13
C0039,35,Femenino,Hogar,Tienda física,70103,Sí,14
C0040,64,Femenino,Libros,App móvil,28512,No,9
C0041,29,Masculino,Hogar,Tienda física,62202,Sí,1
C0042,64,Masculino,Deportes,Online,51299,No,5
C0043,70,Masculino,Deportes,Online,32754,Sí,7
C0044,20,Femenino,Belleza,Tienda física,28746,Sí,1
C0045,54,No binario,Hogar,Tienda física,43033,Sí,6
C0046,65,No binario,Ropa,Tienda física,31141,Sí,11
C0047,28,Masculino,Alimentos,Tienda física,1628,No,14
C0048,72,Femenino,Belleza,Online,29481,Sí,17
C0049,51,No binario,Deportes,Online,63832,No,10
C0050,22,No binario,Electrónica,App móvil,132151,No,1
C0051,60,No binario,Belleza,Tienda física,11876,No,24
C0052,32,Masculino,Electrónica,Tienda física,124487,Sí,17
C0053,60,Masculino,Ropa,Tienda física,32037,No,14
C0054,67,Masculino,Electrónica,Online,81422,Sí,2
C0055,46,Masculino,Electrónica,App móvil,130316,No,15
C0056,27,Femenino,Electrónica,Online,132975,No,18
C0057,24,Femenino,Belleza,Online,46262,Sí,20
C0058,44,Femenino,Deportes,Tienda física,29740,Sí,17
C0059,65,No binario,Hogar,App móvil,102274,No,10
C0060,22,No binario,Electrónica,Online,195233,No,11
C0061,63,No binario,Deportes,Online,13865,Sí,3
C0062,52,Masculino,Deportes,Online,57663,No,14
C0063,22,No binario,Belleza,App móvil,26092,No,22
C0064,32,Femenino,Deportes,Online,40403,Sí,5
C0065,58,Masculino,Ropa,Online,30038,Sí,19
C0066,48,Masculino,Deportes,Online,22567,Sí,23
C0067,42,Masculino,Hogar,Tienda física,53625,Sí,15
C0068,38,Masculino,Alimentos,Online,11997,Sí,2
C0069,64,Masculino,Alimentos,Tienda física,19054,Sí,17
C0070,67,Femenino,Ropa,Online,36548,Sí,8
C0071,24,Masculino,Belleza,App móvil,30840,Sí,21
C0072,46,Masculino,Alimentos,App móvil,25111,No,7
C0073,62,No binario,Deportes,Tienda física,62962,No,3
C0074,64,Femenino,Electrónica,Online,146916,Sí,1
C0075,18,No binario,Electrónica,Online,57019,Sí,20
C0076,72,Masculino,Belleza,Tienda física,30763,No,13
C0077,67,Masculino,Alimentos,App móvil,20615,Sí,9
C0078,69,No binario,Deportes,Online,74860,No,4
C0079,65,No binario,Alimentos,App móvil,22712,Sí,17
C0080,52,Femenino,Deportes,Tienda física,41038,Sí,19
C0081,31,No binario,Belleza,App móvil,21188,Sí,24
C0082,54,Masculino,Belleza,App móvil,38304,Sí,12
C0083,42,No binario,Deportes,Online,72726,No,3
