usuario_id,min_conexion_dia,dia_semana
U001,25,Sábado
U002,48,Domingo
U003,36,Domingo
U004,55,Jueves
U005,60,Lunes
U006,30,Sábado
U007,45,Jueves
U008,62,Jueves
U009,40,Domingo
U010,38,Jueves
U011,29,Martes
U012,71,Domingo
U013,65,Sábado
U014,22,Domingo
U015,33,Sábado
U016,47,Viernes
U017,50,Miércoles
U018,41,Jueves
U019,66,Martes
U020,58,Viernes
U021,39,Miércoles
U022,42,Domingo
U023,49,Lunes
U024,53,Jueves
U025,35,Lunes
U026,36,Sábado
U027,35,Lunes
U028,56,Sábado
U029,26,Lunes
U030,22,Jueves
U031,28,Viernes
U032,49,Jueves
U033,32,Martes
U034,17,Martes
U035,80,Jueves
U036,145,Domingo
U037,24,Martes
U038,42,Lunes
U039,9,Viernes
U040,53,Domingo
U041,51,Miércoles
U042,26,Lunes
U043,26,Miércoles
U044,21,Domingo
U045,37,Martes
U046,79,Miércoles
U047,57,Viernes
U048,41,Lunes
U049,27,Lunes
U050,43,Lunes
U051,3,Miércoles
U052,36,Martes
U053,10,Martes
U054,38,Viernes
U055,65,Miércoles
U056,34,Martes
U057,30,Martes
U058,66,Jueves
U059,47,Viernes
U060,22,Sábado
U061,70,Domingo
U062,38,Sábado
U063,73,Domingo
U064,57,Jueves
U065,44,Lunes
U066,22,Lunes
U067,26,Viernes
U068,74,Martes
U069,63,Domingo
U070,52,Viernes
U071,44,Viernes
U072,49,Martes
U073,58,Jueves
U074,33,Miércoles
U075,24,Domingo
U076,32,Jueves
U077,67,Martes
U078,24,Martes
U079,19,Jueves
U080,65,Miércoles
U081,82,Martes
U082,55,Lunes
U083,49,Viernes
U084,56,Jueves
U085,73,Miércoles
U086,38,Sábado
U087,32,Martes
U088,24,Lunes
U089,87,Lunes
U090,72,Jueves
U091,46,Sábado
U092,31,Jueves
U093,32,Domingo
U094,58,Jueves
U095,30,Miércoles
U096,39,Jueves
U097,50,Martes
U098,37,Domingo
U099,39,Lunes
U100,57,Viernes
U101,56,Miércoles
U102,34,Miércoles
U103,55,Jueves
U104,50,Jueves
U105,28,Viernes
U106,29,Jueves
U107,54,Miércoles
U108,38,Miércoles
U109,36,Jueves
U110,40,Miércoles
U111,36,Lunes
U112,62,Viernes
U113,46,Lunes
U114,49,Domingo
U115,60,Sábado
U116,20,Sábado
U117,10,Martes
U118,47,Viernes
U119,32,Domingo
U120,24,Lunes
