usuario_id,categoria_usuario,min_conexion_dia,modulos_completados,sesiones_dia
U001,nuevo,32,2,1
U002,recurrente,75,6,3
U003,nuevo,15,1,1
U004,recurrente,90,7,4
U005,nuevo,45,3,2
U006,recurrente,60,5,3
U007,nuevo,25,2,1
U008,recurrente,80,6,4
U009,nuevo,10,1,1
U010,recurrente,100,8,5
U011,premium,22,2,2
U012,nuevo,20,2,3
U013,recurrente,49,3,3
U014,premium,45,3,4
U015,nuevo,75,4,4
U016,premium,78,4,3
U017,recurrente,44,2,1
U018,recurrente,98,7,5
U019,nuevo,46,3,3
U020,nuevo,104,7,5
U021,recurrente,40,3,1
U022,recurrente,48,2,4
U023,premium,58,5,4
U024,premium,55,3,4
U025,premium,28,2,3
U026,nuevo,78,6,5
U027,recurrente,72,4,4
U028,recurrente,16,2,2
U029,recurrente,60,4,2
U030,recurrente,56,3,2
U031,nuevo,119,8,5
U032,nuevo,47,3,3
U033,recurrente,61,5,4
U034,recurrente,88,6,5
U035,nuevo,29,1,3
U036,recurrente,113,8,4
U037,recurrente,72,5,4
U038,recurrente,65,5,3
U039,recurrente,87,5,3
U040,premium,82,4,4
U041,premium,7,1,1
U042,nuevo,26,2,3
U043,recurrente,60,4,2
U044,premium,50,3,4
U045,nuevo,32,1,1
U046,nuevo,40,2,1
U047,recurrente,84,6,5
U048,premium,72,6,2
U049,nuevo,53,4,2
U050,nuevo,67,4,4
U051,recurrente,101,6,4
U052,nuevo,34,1,1
U053,nuevo,13,2,1
U054,premium,87,5,4
U055,nuevo,68,5,3
U056,recurrente,40,3,1
U057,nuevo,108,9,4
U058,recurrente,60,4,2
U059,recurrente,38,4,1
U060,recurrente,82,4,5
U061,nuevo,113,8,6
U062,recurrente,40,1,3
U063,nuevo,38,2,3
U064,recurrente,68,5,2
U065,premium,29,1,1
U066,recurrente,88,6,5
U067,nuevo,25,3,2
U068,nuevo,71,6,4
U069,premium,24,2,3
U070,nuevo,46,4,2
U071,nuevo,69,4,2
U072,nuevo,13,0,1
U073,nuevo,43,4,2
U074,recurrente,72,4,4
U075,recurrente,46,5,4
U076,nuevo,34,2,3
U077,recurrente,46,3,2
U078,nuevo,45,3,2
U079,premium,45,4,2
U080,premium,25,3,2
U081,nuevo,55,3,3
U082,nuevo,34,3,3
U083,premium,52,4,3
U084,recurrente,32,2,1
U085,nuevo,35,2,2
U086,nuevo,36,1,1
U087,nuevo,66,4,3
U088,nuevo,48,4,2
U089,recurrente,90,5,5
U090,recurrente,55,3,4
U091,recurrente,114,7,5
U092,recurrente,15,0,1
U093,nuevo,63,4,4
U094,recurrente,86,5,4
U095,recurrente,7,1,1
U096,recurrente,80,5,5
U097,nuevo,106,7,6
U098,recurrente,104,8,4
U099,recurrente,62,3,3
U100,recurrente,31,2,1
U101,nuevo,72,5,2
U102,recurrente,35,3,3
U103,recurrente,50,2,2
U104,recurrente,34,3,2
U105,recurrente,21,2,3
U106,recurrente,44,3,3
U107,recurrente,21,2,1
U108,recurrente,18,0,2
U109,recurrente,99,7,4
U110,premium,47,3,2
U111,recurrente,25,1,1
U112,nuevo,20,1,2
U113,nuevo,96,7,4
U114,recurrente,73,5,3
U115,nuevo,105,6,4
U116,recurrente,86,5,3
U117,recurrente,51,5,4
U118,premium,57,4,4
U119,premium,60,4,3
U120,nuevo,77,5,4
U121,recurrente,39,4,2
U122,recurrente,120,9,4
U123,recurrente,73,6,2
U124,recurrente,54,4,3
U125,nuevo,84,7,3
U126,nuevo,83,6,5
U127,recurrente,26,5,1
U128,nuevo,109,6,4
U129,nuevo,111,8,4
U130,nuevo,19,2,1
U131,nuevo,101,6,4
U132,nuevo,89,5,4
U133,recurrente,52,3,2
U134,nuevo,59,5,3
U135,nuevo,108,8,5
U136,recurrente,6,0,1
U137,recurrente,118,7,4
U138,nuevo,44,3,1
U139,premium,111,6,4
U140,nuevo,34,2,2
U141,premium,26,2,1
U142,recurrente,83,6,4
U143,recurrente,19,1,2
U144,nuevo,103,6,4
U145,premium,99,6,4
U146,recurrente,90,5,4
U147,recurrente,76,6,3
U148,nuevo,45,3,2
U149,nuevo,13,1,1
U150,recurrente,111,7,6
