id_usuario,genero,edad,categoria_usuario,min_conexion_dia,modulos_completados
U001,M,22,gratuito,30,2
U002,F,27,pagado,45,6
U003,F,34,pagado,60,9
U004,M,19,gratuito,15,1
U005,F,40,institucional,80,10
U006,M,31,pagado,35,5
U007,F,29,gratuito,25,3
U008,M,45,institucional,55,8
U009,F,24,pagado,40,7
U010,M,38,institucional,70,10
U011,M,59,institucional,86,9
U012,M,40,pagado,26,4
U013,F,35,pagado,86,10
U014,F,20,pagado,55,7
U015,F,58,institucional,62,6
U016,F,53,pagado,77,9
U017,M,21,pagado,72,9
U018,F,54,gratuito,27,4
U019,M,18,institucional,66,6
U020,M,36,pagado,44,4
U021,F,35,pagado,49,7
U022,M,56,gratuito,14,1
U023,M,17,pagado,49,7
U024,F,38,pagado,46,6
U025,M,27,gratuito,10,0
U026,F,53,pagado,63,10
U027,M,61,gratuito,35,6
U028,M,21,gratuito,20,2
U029,M,37,pagado,56,7
U030,F,32,gratuito,16,0
U031,F,52,gratuito,21,4
U032,M,36,pagado,26,1
U033,M,45,gratuito,34,7
U034,F,57,institucional,92,10
U035,F,21,pagado,68,8
U036,M,53,pagado,47,5
U037,F,26,gratuito,42,4
U038,F,55,institucional,55,6
U039,M,40,gratuito,9,0
U040,M,37,gratuito,30,3
U041,M,31,gratuito,56,8
U042,F,64,pagado,67,10
U043,F,21,pagado,47,6
U044,F,32,gratuito,8,0
U045,F,34,institucional,97,12
U046,M,51,pagado,52,6
U047,M,48,gratuito,11,2
U048,M,26,gratuito,5,0
U049,F,38,pagado,55,7
U050,M,53,institucional,66,8
U051,M,25,pagado,70,9
U052,F,33,pagado,39,5
U053,F,39,institucional,74,8
U054,F,55,pagado,32,4
U055,M,39,gratuito,14,1
U056,F,48,gratuito,54,6
U057,F,26,gratuito,5,1
U058,M,58,institucional,92,11
U059,M,41,gratuito,20,2
U060,M,22,institucional,91,10
U061,M,34,gratuito,29,7
U062,F,33,institucional,66,9
U063,M,57,pagado,58,8
U064,F,39,pagado,37,5
U065,F,29,pagado,57,5
U066,F,65,institucional,50,8
U067,F,26,gratuito,28,2
U068,F,65,institucional,75,8
U069,M,17,pagado,60,9
U070,M,30,institucional,64,8
U071,M,48,institucional,71,9
U072,M,50,pagado,44,6
U073,M,50,pagado,60,8
U074,M,28,gratuito,33,5
U075,M,21,pagado,42,7
U076,M,31,pagado,58,8
U077,F,37,pagado,72,11
U078,M,21,pagado,50,7
U079,F,34,institucional,65,8
U080,F,53,pagado,35,4
U081,F,64,pagado,42,6
U082,F,34,pagado,43,6
U083,M,32,pagado,34,4
U084,F,47,gratuito,27,3
U085,F,18,pagado,39,6
U086,F,17,pagado,60,9
U087,F,57,gratuito,36,4
U088,F,42,gratuito,33,4
U089,F,65,institucional,75,10
U090,F,37,pagado,59,6
U091,F,25,gratuito,27,3
U092,M,53,pagado,62,11
U093,M,42,gratuito,28,2
U094,F,53,gratuito,16,3
U095,F,27,institucional,40,4
U096,F,40,gratuito,33,5
U097,M,42,gratuito,25,4
U098,M,44,pagado,39,4
U099,M,44,institucional,76,11
U100,M,26,pagado,45,4
U101,M,50,gratuito,28,4
U102,F,21,pagado,68,7
U103,F,48,gratuito,26,3
U104,M,48,gratuito,41,6
U105,F,33,gratuito,19,4
U106,M,19,institucional,46,5
U107,M,29,pagado,34,5
U108,M,47,pagado,21,5
