id_cliente,mes,edad,tipo_producto,ingreso_anual,compras_anuales,ventas_mensuales
C0001,Febrero,30,Electrónica,42700,6,22400
C0002,Mayo,23,Ropa,36800,1,18400
C0003,Septiembre,42,Ropa,21200,31,9100
C0004,Septiembre,67,Alimentos,41500,22,15300
C0005,Diciembre,18,Hogar,48100,23,17800
C0006,Septiembre,59,Alimentos,55400,42,23400
C0007,Mayo,39,Alimentos,77800,43,30600
C0008,Junio,57,Electrónica,11100,25,4100
C0009,Septiembre,28,Ropa,42000,30,21400
C0010,Julio,48,Hogar,44000,15,21900
C0011,Febrero,34,Electrónica,40800,17,16100
C0012,Marzo,23,Hogar,50300,14,16100
C0013,Mayo,53,Ropa,41500,34,17700
C0014,Octubre,29,Alimentos,57400,29,28200
C0015,Junio,44,Ropa,,40,6500
C0016,Junio,63,Alimentos,24800,24,9600
C0017,Septiembre,43,Ropa,18700,23,10400
C0018,Marzo,52,Electrónica,61600,26,29200
C0019,Agosto,18,Alimentos,52800,27,23800
C0020,Marzo,48,Electrónica,23400,1,10000
C0021,Mayo,31,Alimentos,69800,30,30800
C0022,Octubre,48,Hogar,48900,8,15100
C0023,Agosto,35,Electrónica,31100,33,18600
C0024,Junio,22,Electrónica,45000,14,13800
C0025,Septiembre,64,Electrónica,52200,11,27300
C0026,Diciembre,41,Electrónica,29400,12,9400
C0027,Septiembre,65,Electrónica,64400,29,20000
C0028,Julio,61,Alimentos,54000,15,28900
C0029,Abril,34,Electrónica,62600,13,31900
C0030,Septiembre,51,Alimentos,30800,23,15600
C0031,Julio,48,Hogar,41200,29,24600
C0032,Febrero,61,Hogar,14900,3,5800
C0033,Abril,29,Alimentos,52900,26,30400
C0034,Agosto,34,Electrónica,62600,26,33700
C0035,Marzo,49,Ropa,35700,33,11900
C0036,Enero,22,Hogar,68300,1,22600
C0037,Mayo,65,Ropa,49900,2,27800
C0038,Octubre,43,Alimentos,51200,21,20500
C0039,Diciembre,40,Hogar,50900,1,26300
C0040,Octubre,51,Alimentos,52300,24,16400
C0041,Octubre,38,Alimentos,31300,26,18600
C0042,Diciembre,48,Deportes,26100,6,9600
C0043,Diciembre,57,Electrónica,35900,34,16400
C0044,Marzo,58,Ropa,44400,7,16700
C0045,Febrero,51,Electrónica,71100,30,21400
C0046,Octubre,65,Hogar,38700,31,18000
C0047,Junio,48,Hogar,23700,22,11000
C0048,Junio,65,Deportes,20100,21,6100
