cliente_id,region,plan,canal_atencion,tipo_cliente,satisfaccion,meses_activo
1,Valparaíso,Básico,Telefónico,Residencial,7.7,70
2,Valparaíso,Estándar,App,Residencial,7.8,28
3,Araucanía,Estándar,App,Residencial,6.6,54
4,Araucanía,Estándar,Telefónico,Empresarial,4.5,1
5,Biobío,Estándar,Telefónico,Residencial,7.9,14
6,Valparaíso,Básico,Telefónico,Empresarial,10,78
7,Los Lagos,Premium,Sucursal,Residencial,8.9,71
8,Los Lagos,Premium,Telefónico,Residencial,6.9,9
9,Metropolitana,Estándar,Telefónico,Pyme,9.4,49
10,Los Lagos,Estándar,Telefónico,Residencial,4.4,46
11,Araucanía,Estándar,App,Empresarial,8.6,21
12,Maule,Básico,Web,Empresarial,9.8,8
13,Araucanía,Premium,Telefónico,Residencial,10,73
14,Antofagasta,Básico,Sucursal,Residencial,8.8,83
15,Maule,Básico,Web,Residencial,5.9,75
16,Coquimbo,Premium,Sucursal,Residencial,6.7,18
17,O_Higgins,Estándar,App,Pyme,7.8,55
18,Atacama,Básico,Sucursal,Residencial,8.1,60
19,O_Higgins,Básico,App,Empresarial,10,35
20,Antofagasta,Básico,Sucursal,Residencial,9.7,1
21,Los Lagos,Empresarial,Web,Residencial,9.2,82
22,O_Higgins,Estándar,Web,Residencial,8.8,21
23,O_Higgins,Empresarial,App,Residencial,6.3,47
24,Los Lagos,Básico,Web,Pyme,7.3,11
25,Valparaíso,Premium,App,Pyme,6.3,61
26,O_Higgins,Básico,Sucursal,Pyme,7.0,70
27,Araucanía,Premium,Sucursal,Pyme,6.1,67
28,Maule,Básico,Web,Residencial,5.6,3
29,Atacama,Estándar,Web,Residencial,7.0,9
30,Metropolitana,Premium,App,Residencial,6.6,36
31,Maule,Básico,Web,Empresarial,8.9,32
32,Maule,Premium,Web,Residencial,5.6,56
33,Antofagasta,Estándar,Sucursal,Pyme,9.7,83
34,Valparaíso,Básico,Telefónico,Empresarial,8.1,14
35,Araucanía,Básico,Sucursal,Residencial,8.0,10
36,Maule,Premium,App,Residencial,9.0,70
37,Metropolitana,Empresarial,Web,Residencial,6.0,52
38,Metropolitana,Básico,App,Pyme,7.3,34
39,Maule,Básico,Sucursal,Residencial,5.8,75
40,O_Higgins,Básico,Telefónico,Residencial,10,75
41,Maule,Estándar,Web,Residencial,3.7,9
42,Atacama,Básico,Web,Residencial,7.0,73
43,Araucanía,Estándar,App,Empresarial,5.1,67
44,Antofagasta,Empresarial,Web,Empresarial,8.4,41
45,Araucanía,Básico,Web,Empresarial,6.7,10
46,Metropolitana,Estándar,App,Residencial,8.7,28
47,O_Higgins,Básico,Telefónico,Pyme,8.5,21
48,Maule,Premium,Telefónico,Empresarial,6.0,84
49,O_Higgins,Básico,Telefónico,Pyme,10,34
50,Valparaíso,Premium,Web,Residencial,9.4,78
51,Araucanía,Premium,Web,Empresarial,8.5,33
52,Metropolitana,Básico,Sucursal,Empresarial,5.5,6
53,Metropolitana,Básico,Web,Empresarial,7.0,71
