id_estudiante,sede,region,modalidad,jornada,programa,anio_cursado
EST000001,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,1
EST000002,MET01,Metropolitana,Presencial,Diurno,Contabilidad,3
EST000003,MET01,Metropolitana,Presencial,Diurno,Enfermería,2
EST000004,MET01,Metropolitana,Presencial,Diurno,Gastronomía,3
EST000005,MET01,Metropolitana,A distancia,Diurno,Electricidad,4
EST000006,MET01,Metropolitana,A distancia,Vespertino,Enfermería,2
EST000007,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,2
EST000008,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,3
EST000009,MET01,Metropolitana,A distancia,Diurno,Informática,3
EST000010,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,2
EST000011,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000012,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,4
EST000013,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,4
EST000014,MET01,Metropolitana,A distancia,Diurno,Informática,2
EST000015,MET01,Metropolitana,A distancia,Vespertino,Electricidad,2
EST000016,MET01,Metropolitana,A distancia,Vespertino,Electricidad,1
EST000017,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,2
EST000018,MET01,Metropolitana,Presencial,Vespertino,Informática,3
EST000019,MET01,Metropolitana,Presencial,Diurno,Logística,1
EST000020,MET01,Metropolitana,Presencial,Diurno,Electricidad,1
EST000021,MET01,Metropolitana,A distancia,Diurno,Enfermería,3
EST000022,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,3
EST000023,MET01,Metropolitana,A distancia,Vespertino,Informática,1
EST000024,MET01,Metropolitana,Presencial,Vespertino,Informática,2
EST000025,MET01,Metropolitana,A distancia,Vespertino,Administración,4
EST000026,MET01,Metropolitana,A distancia,Diurno,Mecánica Automotriz,1
EST000027,MET01,Metropolitana,Presencial,Vespertino,Marketing Digital,3
EST000028,MET01,Metropolitana,A distancia,Diurno,Administración,4
EST000029,MET01,Metropolitana,Presencial,Diurno,Enfermería,1
EST000030,MET01,Metropolitana,A distancia,Vespertino,Administración,4
EST000031,MET01,Metropolitana,Presencial,Diurno,Informática,4
EST000032,MET01,Metropolitana,Presencial,Diurno,Enfermería,2
EST000033,MET01,Metropolitana,Presencial,Diurno,Administración,3
EST000034,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,3
EST000035,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000036,MET01,Metropolitana,Presencial,Diurno,Informática,1
EST000037,MET01,Metropolitana,A distancia,Vespertino,Mecánica Automotriz,4
EST000038,MET01,Metropolitana,Presencial,Vespertino,Informática,4
EST000039,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000040,MET01,Metropolitana,Presencial,Vespertino,Electricidad,4
EST000041,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000042,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,1
EST000043,MET01,Metropolitana,A distancia,Diurno,Marketing Digital,2
EST000044,MET01,Metropolitana,Presencial,Diurno,Enfermería,4
EST000045,MET01,Metropolitana,Presencial,Diurno,Administración,1
EST000046,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,2
EST000047,MET01,Metropolitana,Presencial,Vespertino,Electricidad,2
EST000048,MET01,Metropolitana,Presencial,Diurno,Diseño Gráfico,1
EST000049,MET01,Metropolitana,Presencial,Diurno,Mecánica Automotriz,4
EST000050,MET01,Metropolitana,Presencial,Diurno,Logística,3
EST000051,MET01,Metropolitana,Presencial,Diurno,Enfermería,3
EST000052,MET01,Metropolitana,Presencial,Vespertino,Electricidad,2
EST000053,MET01,Metropolitana,Presencial,Vespertino,Administración,2
EST000054,MET01,Metropolitana,A distancia,Diurno,Logística,2
EST000055,MET01,Metropolitana,A distancia,Diurno,Administración,2
EST000056,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,2
EST000057,MET01,Metropolitana,A distancia,Diurno,Informática,2
EST000058,MET01,Metropolitana,A distancia,Diurno,Administración,2
EST000059,MET01,Metropolitana,A distancia,Vespertino,Administración,4
EST000060,MET01,Metropolitana,Presencial,Vespertino,Enfermería,2
EST000061,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000062,MET01,Metropolitana,Presencial,Vespertino,Diseño Gráfico,4
EST000063,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
EST000064,MET01,Metropolitana,Presencial,Vespertino,Mecánica Automotriz,2
EST000065,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000066,MET01,Metropolitana,A distancia,Vespertino,Marketing Digital,4
EST000067,MET01,Metropolitana,Presencial,Diurno,Informática,1
EST000068,MET01,Metropolitana,Presencial,Vespertino,Logística,4
EST000069,MET01,Metropolitana,Presencial,Diurno,Marketing Digital,1
EST000070,MET01,Metropolitana,Presencial,Vespertino,Gastronomía,2
EST000071,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
EST000072,MET01,Metropolitana,A distancia,Vespertino,Gastronomía,4
EST000073,MET01,Metropolitana,Presencial,Vespertino,Electricidad,3
EST000074,MET01,Metropolitana,A distancia,Vespertino,Diseño Gráfico,4
EST000075,MET01,Metropolitana,A distancia,Vespertino,Electricidad,2
EST000076,MET01,Metropolitana,Presencial,Diurno,Gastronomía,1
EST000077,MET01,Metropolitana,Presencial,Diurno,Contabilidad,4
