id_registro,fecha,zona,tipo_dia,clima,tipo_vehiculo,tiempo_entrega_min
1,2024-01-02,Este,Hábil,Despejado,Moto,22.1
2,2024-01-03,Centro,Hábil,Despejado,Moto,27.2
3,2024-01-04,Centro,Hábil,Despejado,Furgón,82.2
4,2024-01-05,Oeste,Hábil,Despejado,Moto,42.8
5,2024-01-08,Oeste,Hábil,Despejado,Moto,35.7
6,2024-01-09,Centro,Hábil,Despejado,Camión,45.9
7,2024-01-10,Centro,Hábil,Lluvia,Moto,34.4
8,2024-01-11,Norte,Hábil,Lluvia,Furgón,71.1
9,2024-01-12,Centro,Hábil,Despejado,Furgón,32.8
10,2024-01-15,Norte,Hábil,Nublado,Moto,25.2
11,2024-01-16,Centro,Hábil,Despejado,Moto,74.5
12,2024-01-17,Oeste,Hábil,Nublado,Furgón,59.4
13,2024-01-18,Centro,Hábil,Despejado,Moto,80.7
14,2024-01-19,Centro,Hábil,Nublado,Moto,42.7
15,2024-01-22,Sur,Hábil,Lluvia,Furgón,77.3
16,2024-01-23,Norte,Hábil,Despejado,Furgón,51.9
17,2024-01-24,Centro,Hábil,Despejado,Moto,36.9
18,2024-01-25,Norte,Hábil,Despejado,Camión,23.6
19,2024-01-26,Norte,Hábil,Despejado,Moto,46.0
20,2024-01-29,Sur,Hábil,Despejado,Furgón,39.6
21,2024-01-30,Este,Hábil,Lluvia,Furgón,64.9
22,2024-01-31,Centro,Hábil,Despejado,Furgón,20.2
23,2024-02-01,Norte,Hábil,Lluvia,Moto,68.2
24,2024-02-02,Centro,Hábil,Nublado,Camión,44.4
25,2024-02-05,Centro,Hábil,Despejado,Moto,32.6
26,2024-02-06,Centro,Hábil,Despejado,Furgón,57.9
27,2024-02-07,Centro,Hábil,Despejado,Moto,50.6
28,2024-02-08,Sur,Hábil,Lluvia,Moto,33.7
29,2024-02-09,Centro,Hábil,Despejado,Moto,46.3
30,2024-02-12,Centro,Hábil,Nublado,Camión,62.1
31,2024-02-13,Este,Hábil,Nublado,Camión,34.4
32,2024-02-14,Centro,Hábil,Despejado,Moto,57.1
33,2024-02-15,Sur,Hábil,Despejado,Moto,12.2
34,2024-02-16,Sur,Hábil,Nublado,Furgón,25.8
35,2024-02-19,Centro,Hábil,Lluvia,Moto,31.1
36,2024-02-20,Este,Hábil,Despejado,Moto,46.5
37,2024-02-21,Centro,Hábil,Despejado,Furgón,43.1
38,2024-02-22,Centro,Hábil,Lluvia,Furgón,104.9
39,2024-02-23,Centro,Hábil,Despejado,Camión,107.3
40,2024-02-26,Centro,Hábil,Nublado,Moto,50.4
41,2024-02-27,Sur,Hábil,Despejado,Moto,38.3
42,2024-02-28,Este,Hábil,Despejado,Furgón,40.7
43,2024-02-29,Sur,Hábil,Nublado,Furgón,107.4
44,2024-03-01,Centro,Hábil,Despejado,Furgón,54.9
45,2024-03-04,Oeste,Hábil,Despejado,Furgón,44.6
46,2024-03-05,Norte,Hábil,Despejado,Moto,35.2
47,2024-03-06,Norte,Hábil,Despejado,Furgón,44.5
48,2024-03-07,Sur,Hábil,Lluvia,Moto,62.2
49,2024-03-08,Oeste,Hábil,Despejado,Moto,51.1
50,2024-03-11,Norte,Hábil,Despejado,Furgón,65.9
51,2024-03-12,Norte,Hábil,Lluvia,Moto,21.2
52,2024-03-13,Norte,Hábil,Lluvia,Moto,64.5
53,2024-03-14,Norte,Hábil,Despejado,Camión,54.6
54,2024-03-15,Norte,Hábil,Despejado,Moto,48.7
55,2024-03-18,Centro,Hábil,Nublado,Furgón,36.5
56,2024-03-19,Centro,Hábil,Lluvia,Moto,87.8
57,2024-03-20,Sur,Hábil,Despejado,Furgón,66.8
58,2024-03-21,Sur,Hábil,Despejado,Moto,36.2
59,2024-03-22,Norte,Hábil,Despejado,Moto,26.4
60,2024-03-25,Sur,Hábil,Lluvia,Camión,40.1
61,2024-03-26,Centro,Hábil,Nublado,Furgón,80.3
62,2024-03-27,Centro,Hábil,Lluvia,Moto,41.4
63,2024-03-28,Norte,Hábil,Nublado,Moto,101.9
64,2024-03-29,Centro,Hábil,Lluvia,Camión,105.8
65,2024-04-01,Sur,Hábil,Despejado,Furgón,61.1
66,2024-04-02,Este,Hábil,Despejado,Furgón,46.4
67,2024-04-03,Centro,Hábil,Despejado,Furgón,33.1
68,2024-04-04,Centro,Hábil,Despejado,Moto,62.2
69,2024-04-05,Sur,Hábil,Nublado,Moto,24.2
70,2024-04-08,Oeste,Hábil,Despejado,Furgón,50.6
71,2024-04-09,Norte,Hábil,Despejado,Moto,27.7
72,2024-04-10,Norte,Hábil,Despejado,Moto,19.1
73,2024-04-11,Sur,Hábil,Despejado,Camión,58.7
74,2024-04-12,Norte,Hábil,Despejado,Furgón,32.1
75,2024-04-15,Oeste,Hábil,Despejado,Furgón,54.9
76,2024-04-16,Este,Hábil,Lluvia,Furgón,24.7
77,2024-04-17,Sur,Hábil,Despejado,Furgón,54.0
78,2024-04-18,Centro,Hábil,Lluvia,Moto,23.5
79,2024-04-19,Oeste,Hábil,Despejado,Moto,32.1
80,2024-04-22,Este,Hábil,Despejado,Moto,37.1
81,2024-04-23,Centro,Hábil,Despejado,Moto,74.5
82,2024-04-24,Oeste,Hábil,Despejado,Furgón,48.7
83,2024-04-25,Oeste,Hábil,Lluvia,Moto,35.5
84,2024-04-26,Centro,Hábil,Despejado,Moto,37.5
85,2024-04-29,Norte,Hábil,Despejado,Moto,28.2
86,2024-04-30,Sur,Hábil,Lluvia,Moto,40.5
87,2024-05-01,Este,Hábil,Despejado,Moto,47.9
88,2024-05-02,Sur,Hábil,Despejado,Moto,37.8
89,2024-05-03,Este,Hábil,Nublado,Moto,65.4
90,2024-05-06,Norte,Hábil,Lluvia,Moto,79.6
91,2024-05-07,Norte,Hábil,Despejado,Moto,53.8
92,2024-05-08,Sur,Hábil,Nublado,Furgón,60.9
93,2024-05-09,Norte,Hábil,Lluvia,Moto,29.3
94,2024-05-10,Oeste,Hábil,Despejado,Moto,82.5
95,2024-05-13,Este,Hábil,Lluvia,Furgón,60.1
96,2024-05-14,Este,Hábil,Despejado,Moto,32.8
97,2024-05-15,Centro,Hábil,Despejado,Camión,24.3
98,2024-05-16,Sur,Hábil,Despejado,Furgón,30.7
99,2024-05-17,Centro,Hábil,Despejado,Moto,33.0
100,2024-05-20,Centro,Hábil,Lluvia,Furgón,43.6
101,2024-05-21,Centro,Hábil,Despejado,Moto,31.4
102,2024-05-22,Sur,Hábil,Nublado,Furgón,36.8
103,2024-05-23,Centro,Hábil,Lluvia,Moto,49.6
104,2024-05-24,Centro,Hábil,Despejado,Camión,57.9
105,2024-05-27,Oeste,Hábil,Lluvia,Moto,39.5
106,2024-05-28,Este,Hábil,Despejado,Furgón,51.8
107,2024-05-29,Centro,Hábil,Despejado,Furgón,27.7
108,2024-05-30,Centro,Hábil,Lluvia,Moto,95.1
109,2024-05-31,Centro,Hábil,Despejado,Moto,40.8
110,2024-06-03,Norte,Hábil,Despejado,Furgón,44.1
111,2024-06-04,Este,Hábil,Despejado,Furgón,24.4
112,2024-06-05,Este,Hábil,Despejado,Moto,64.1
113,2024-06-06,Centro,Hábil,Despejado,Furgón,49.6
114,2024-06-07,Sur,Hábil,Despejado,Camión,76.9
115,2024-06-10,Sur,Hábil,Nublado,Camión,36.2
116,2024-06-11,Centro,Hábil,Despejado,Moto,37.0
117,2024-06-12,Norte,Hábil,Despejado,Furgón,39.8
118,2024-06-13,Este,Hábil,Despejado,Moto,61.3
119,2024-06-14,Norte,Hábil,Despejado,Camión,36.4
120,2024-06-17,Sur,Hábil,Nublado,Moto,31.7
121,2024-06-18,Oeste,Hábil,Lluvia,Moto,63.0
122,2024-06-19,Centro,Hábil,Lluvia,Furgón,32.2
123,2024-06-20,Sur,Hábil,Despejado,Moto,29.1
124,2024-06-21,Sur,Hábil,Despejado,Camión,59.5
125,2024-06-24,Norte,Hábil,Despejado,Camión,51.0
126,2024-06-25,Centro,Hábil,Nublado,Furgón,58.1
127,2024-06-26,Norte,Hábil,Despejado,Moto,69.4
128,2024-06-27,Centro,Hábil,Despejado,Furgón,42.7
129,2024-06-28,Oeste,Hábil,Nublado,Moto,93.0
130,2024-07-01,Norte,Hábil,Despejado,Moto,25.3
131,2024-07-02,Este,Hábil,Despejado,Furgón,47.9
132,2024-07-03,Oeste,Hábil,Despejado,Moto,58.7
133,2024-07-04,Norte,Hábil,Nublado,Moto,44.8
134,2024-07-05,Este,Hábil,Despejado,Camión,34.1
135,2024-07-08,Centro,Hábil,Lluvia,Moto,48.6
136,2024-07-09,Oeste,Hábil,Lluvia,Moto,22.6
137,2024-07-10,Centro,Hábil,Despejado,Camión,70.0
138,2024-07-11,Centro,Hábil,Lluvia,Moto,70.6
139,2024-07-12,Centro,Hábil,Despejado,Furgón,35.3
140,2024-07-15,Este,Hábil,Despejado,Camión,50.5
141,2024-07-16,Centro,Hábil,Lluvia,Camión,41.2
142,2024-07-17,Centro,Hábil,Nublado,Furgón,51.6
143,2024-07-18,Este,Hábil,Lluvia,Moto,42.3
144,2024-07-19,Sur,Hábil,Despejado,Moto,51.6
145,2024-07-22,Norte,Hábil,Despejado,Furgón,34.3
146,2024-07-23,Norte,Hábil,Despejado,Camión,57.1
147,2024-07-24,Sur,Hábil,Despejado,Furgón,22.5
148,2024-07-25,Sur,Hábil,Despejado,Moto,44.4
149,2024-07-26,Oeste,Hábil,Despejado,Moto,48.5
150,2024-07-29,Norte,Hábil,Despejado,Moto,27.3
151,2024-07-30,Centro,Hábil,Despejado,Furgón,32.3
152,2024-07-31,Norte,Hábil,Despejado,Moto,49.4
153,2024-08-01,Este,Hábil,Despejado,Camión,50.3
154,2024-08-02,Oeste,Hábil,Nublado,Furgón,83.6
155,2024-08-05,Centro,Hábil,Despejado,Moto,84.1
156,2024-08-06,Este,Hábil,Nublado,Furgón,36.8
157,2024-08-07,Norte,Hábil,Nublado,Moto,68.3
158,2024-08-08,Este,Hábil,Despejado,Furgón,54.9
159,2024-08-09,Sur,Hábil,Lluvia,Furgón,33.5
160,2024-08-12,Oeste,Hábil,Despejado,Furgón,60.4
161,2024-08-13,Norte,Hábil,Despejado,Furgón,57.4
162,2024-08-14,Centro,Hábil,Despejado,Moto,68.1
163,2024-08-15,Este,Hábil,Despejado,Moto,90.6
164,2024-08-16,Sur,Hábil,Despejado,Furgón,24.9
165,2024-08-19,Norte,Hábil,Despejado,Moto,94.7
166,2024-08-20,Norte,Hábil,Lluvia,Moto,40.9
167,2024-08-21,Sur,Hábil,Lluvia,Moto,45.5
168,2024-08-22,Centro,Hábil,Despejado,Furgón,57.3
169,2024-08-23,Norte,Hábil,Lluvia,Moto,42.5
170,2024-08-26,Sur,Hábil,Despejado,Furgón,46.8
171,2024-08-27,Norte,Hábil,Despejado,Camión,51.2
172,2024-08-28,Este,Hábil,Nublado,Moto,57.1
173,2024-08-29,Norte,Hábil,Despejado,Moto,82.7
174,2024-08-30,Sur,Hábil,Despejado,Moto,32.2
175,2024-09-02,Norte,Hábil,Despejado,Camión,32.0
176,2024-09-03,Sur,Hábil,Despejado,Moto,61.9
177,2024-09-04,Este,Hábil,Nublado,Moto,48.7
178,2024-09-05,Sur,Hábil,Despejado,Moto,33.8
179,2024-09-06,Norte,Hábil,Nublado,Furgón,30.9
180,2024-09-09,Este,Hábil,Despejado,Moto,46.8
181,2024-09-10,Este,Hábil,Despejado,Furgón,43.4
182,2024-09-11,Norte,Hábil,Despejado,Camión,37.4
183,2024-09-12,Este,Hábil,Lluvia,Moto,64.5
184,2024-09-13,Oeste,Hábil,Despejado,Furgón,25.5
185,2024-09-16,Norte,Hábil,Nublado,Moto,61.2
186,2024-09-17,Este,Hábil,Nublado,Camión,25.7
187,2024-09-18,Centro,Hábil,Despejado,Furgón,29.9
188,2024-09-19,Centro,Hábil,Nublado,Camión,112.8
189,2024-09-20,Norte,Hábil,Nublado,Moto,24.0
190,2024-09-23,Norte,Hábil,Lluvia,Moto,39.0
191,2024-09-24,Este,Hábil,Despejado,Moto,25.2
192,2024-09-25,Oeste,Hábil,Despejado,Moto,86.3
193,2024-09-26,Centro,Hábil,Despejado,Moto,60.8
194,2024-09-27,Sur,Hábil,Despejado,Moto,46.5
195,2024-09-30,Centro,Hábil,Despejado,Moto,48.9
196,2024-10-01,Centro,Hábil,Lluvia,Moto,71.6
