id_estudiante,edad,género,carrera,tipo_conexión,dispositivo,horas_conectadas_por_semana,participación_foros,entregas_parciales,semana_abandono
1001,23,M,Ingeniería en Informática,WiFi,Notebook,5.5,3,2,3.0
1002,29,F,Administración,Móvil,Smartphone,1.0,0,0,2.0
1003,21,F,Ingeniería en Informática,WiFi,Notebook,7.2,5,3,
1004,33,M,Administración,Cable,Notebook,6.0,2,3,
1005,40,NB,Contabilidad,Móvil,Tablet,0.5,0,0,1.0
1006,24,M,Ingeniería Comercial,WiFi,Notebook,4.0,1,1,2.0
1007,27,F,Ingeniería Comercial,WiFi,Notebook,8.3,4,4,
1008,36,F,Administración,Móvil,Smartphone,2.0,1,1,2.0
1009,22,M,Contabilidad,Cable,Notebook,5.1,3,3,
1010,28,F,Ingeniería en Informática,WiFi,Notebook,3.3,2,2,3.0
